"course","lng","lat","Estblsh","Age_yrs","Mn_prtc","Mn_vlnt"
"castlepark",0.16417,51.87168,"2017-09-30",1.4,282.4,30.9
"coldhamscommon",0.154694,52.208409,"2018-09-29",0.4,292.1,28.9
"footscraymeadows",0.13322,51.432203,"2018-07-21",0.6,103.1,14.7
"bexley",0.116816,51.454809,"2012-02-04",7.1,249.7,13.1
"orpington",0.116429,51.367266,"2012-09-15",6.5,133.3,9.4
"harlow",0.10776,51.779152,"2014-11-08",4.3,148.7,21.8
"hoblingwell",0.099056,51.402528,"2017-07-15",1.7,68.2,16
"barking",0.086088,51.545348,"2012-07-28",6.6,74.7,12.3
"march",0.085256,52.550112,"2016-01-23",3.1,149.1,25.2
"greenwich",0.076368,51.448618,"2010-03-06",9,143.3,13.5
"valentines",0.069609,51.568001,"2011-02-19",8.1,165.9,11.6
"rodingvalley",0.066497,51.638589,"2017-01-14",2.2,110.8,13.8
"beckton",0.05373,51.51152,"2012-06-02",6.8,45.9,9
"bromley",0.026564,51.389542,"2009-08-29",9.5,368.4,18.3
"wansteadflats",0.019054,51.564666,"2011-05-21",7.8,114.9,7.3
"victoriadock",0.016265,51.50722,"2018-03-17",1,109.9,8.4
"peacehaven",0.01295,50.794122,"2017-05-20",1.8,115.8,20.8
"eastgrinstead",0.0019383,51.1295123,"2017-09-09",1.5,90,31.1
"gunpowder",-0.004678,51.674525,"2011-10-22",7.4,115.4,7.5
"beckenhamplace",-0.006019,51.417151,"2016-11-19",2.3,166.8,14.8
"walthamstow",-0.008004,51.603186,"2013-01-26",6.1,73.1,11.1
"catford",-0.008664,51.44822,"2018-04-28",0.9,162.6,18.7
"barclay",-0.02179,51.759858,"2015-06-06",3.8,68.4,11.3
"hackney-marshes",-0.02422,51.553426,"2010-05-29",8.8,122.7,8.9
"hillyfields",-0.025685,51.45989,"2012-09-08",6.5,164.8,12.9
"cleethorpes",-0.026524,53.54102,"2014-05-24",4.8,152.3,22.5
"mileend",-0.035663,51.522443,"2012-02-04",7.1,170.6,10.5
"boston",-0.038836,52.990218,"2015-10-24",3.4,116,22.5
"southwark",-0.052587,51.494096,"2013-09-07",5.5,182.6,15.1
"wimpoleestate",-0.053902,52.140126,"2013-01-12",6.2,258.4,27.5
"southnorwood",-0.054939,51.399228,"2017-07-08",1.7,109.4,12.8
"westmill",-0.058901,51.825063,"2017-07-22",1.6,64.9,20.3
"peckhamrye",-0.059931,51.456935,"2014-06-21",4.7,163.1,11.6
"crystalpalace",-0.064656,51.419482,"2010-05-29",8.8,160.2,10.8
"pymmes",-0.070059,51.61763,"2011-04-09",7.9,36.4,6.5
"lloyd",-0.077119,51.366074,"2010-10-23",8.4,144.5,15
"dulwich",-0.077527,51.445515,"2012-04-14",6.9,208.7,11.5
"riddlesdown",-0.078921,51.320287,"2011-07-02",7.7,118.9,22.9
"burgess",-0.090573,51.481837,"2012-09-22",6.5,185.3,12.5
"finsbury",-0.101109,51.570028,"2009-10-31",9.4,176.9,10.4
"clair",-0.101237,51.003642,"2013-07-20",5.6,123.4,15.9
"highburyfields",-0.102739,51.54859,"2011-11-12",7.3,158.2,9.1
"bevendeandown",-0.106763,50.844613,"2016-02-06",3.1,36.4,8.1
"brockwell",-0.109134,51.45374,"2010-12-11",8.3,211.2,15.7
"grovelands",-0.114477,51.633282,"2010-07-24",8.6,103.2,8.2
"panshanger",-0.118446,51.797469,"2014-10-11",4.4,259.6,22.8
"roundshaw",-0.119262,51.351737,"2009-07-18",9.7,100.9,11.9
"manorfieldwhittlesey",-0.12598,52.55186,"2018-09-08",0.5,81.5,21.2
"allypally",-0.126085,51.594082,"2011-12-03",7.3,133.4,10.4
"tootingcommon",-0.146685,51.434708,"2016-01-30",3.1,455.3,30.1
"prestonpark",-0.147393,50.839091,"2013-04-20",5.9,335.4,24
"claphamcommon",-0.152916,51.457167,"2018-03-24",1,455.5,30.7
"oak-hill",-0.156169,51.637517,"2011-08-27",7.5,120.1,8.5
"hampsteadheath",-0.16398,51.561732,"2011-05-14",7.8,196.1,14
"hovepromenade",-0.165782,50.82318,"2015-07-11",3.7,239.5,28.6
"sewerby",-0.167456,54.101734,"2011-11-05",7.4,118.2,15.6
"brighton",-0.173635,50.842641,"2007-11-03",11.4,319.7,22.7
"tilgate",-0.178614,51.095006,"2012-06-09",6.8,374.8,38.2
"stevenage",-0.17996,51.902649,"2016-05-28",2.8,251.5,19.4
"banstead",-0.18548,51.305211,"2007-06-16",11.7,157.7,17.7
"reigatepriory",-0.208654,51.234622,"2014-03-22",5,203.5,19.7
"huntingdon",-0.209341,52.32776,"2013-04-13",5.9,232,26.7
"fulhampalace",-0.217752,51.471493,"2013-10-19",5.4,299,22.2
"letchworth",-0.222816,51.999883,"2018-01-27",1.1,122.7,16.6
"wimbledon",-0.227966,51.442372,"2007-01-06",12.2,263.4,15.2
"nonsuch",-0.232816,51.357526,"2011-09-17",7.5,405,33.1
"gladstone",-0.235305,51.557916,"2012-06-30",6.7,126.1,14.2
"wormwoodscrubs",-0.242515,51.520841,"2011-06-11",7.8,51.8,7.9
"ellenbrookfields",-0.254212,51.761835,"2016-05-21",2.8,155.9,19.1
"pocket",-0.275214,52.214789,"2018-06-16",0.7,189.3,30.7
"richmond",-0.28367,51.454595,"2007-10-20",11.4,266.6,16
"gunnersbury",-0.290902,51.49632,"2011-10-29",7.4,306.1,21.6
"canonspark",-0.296406,51.612554,"2016-10-08",2.4,113.3,13.4
"hull",-0.300837,53.766268,"2010-04-03",8.9,338.3,24.3
"peterborough",-0.307201,52.564249,"2013-08-03",5.6,427.2,35.2
"olddeerpark",-0.31045,51.464582,"2010-08-21",8.6,69.5,8.1
"aldenham",-0.316544,51.64795,"2015-06-20",3.7,74.5,9.5
"kingston",-0.317659,51.432876,"2010-03-20",9,126.7,9.2
"lancingbeachgreen",-0.323904,50.820611,"2018-08-25",0.5,127.6,19.5
"horsham",-0.326071,51.066697,"2014-09-06",4.5,330.9,25.9
"molevalley",-0.3303393,51.2482116,"2018-03-17",1,272.2,22.4
"bushy",-0.3316014,51.4119721,"2004-10-02",14.4,682.8,28.2
"harrow",-0.34417,51.581757,"2015-05-09",3.8,145.8,13.1
"osterley",-0.350028,51.489414,"2013-08-31",5.5,119.7,11.8
"stalbans",-0.351756,51.750401,"2012-01-14",7.2,304.3,18
"worthing",-0.361873,50.811433,"2016-06-11",2.8,340.2,25.7
"crane",-0.376196,51.443389,"2012-06-09",6.8,129.6,12.6
"northalafields",-0.379114,51.537073,"2014-06-21",4.7,213.9,24.5
"southoxhey",-0.393126,51.631531,"2015-01-31",4.1,47,10.2
"peterpan",-0.40239,53.738532,"2013-04-13",5.9,119.2,11.9
"cassiobury",-0.415678,51.65874,"2015-02-28",4,298.2,21.2
"lutonwardown",-0.417476,51.894516,"2015-04-18",3.9,241.2,27.4
"hazelwood",-0.420635,51.407331,"2018-03-17",1,121.2,15.7
"bedfont",-0.446792,51.441704,"2009-05-09",9.8,129.6,18.3
"humberbridge",-0.456018,53.71812,"2014-06-07",4.8,121.1,13.8
"bedford",-0.464129,52.147395,"2011-06-11",7.8,258.6,15.6
"gadebridge",-0.47473,51.7613,"2015-05-02",3.9,122.8,18
"rickmansworth",-0.4759097,51.6331291,"2017-03-04",2,335.8,21.4
"cranleigh",-0.495715,51.137126,"2014-10-04",4.4,74,13.3
"greatdenham",-0.509105,52.12158,"2018-02-17",1.1,159,12.2
"houghtonhall",-0.510929,51.901642,"2017-12-23",1.2,186,18.4
"homewood",-0.5386627,51.3656581,"2016-10-15",2.4,107.1,19.1
"black-park",-0.547814,51.540213,"2009-07-18",9.7,382,17.9
"woking",-0.555046,51.311382,"2014-08-16",4.6,252.5,21
"lincoln",-0.557642,53.208603,"2013-11-16",5.3,310.5,21.2
"guildford",-0.563736,51.246283,"2012-03-10",7,282.2,18.3
"uptoncourt",-0.580645,51.498725,"2012-11-24",6.3,93.1,10.2
"beltonhouse",-0.618784,52.941367,"2015-11-07",3.3,244.4,20.4
"rutlandwater",-0.621414,52.645772,"2015-10-24",3.4,194.2,25
"tring",-0.654931,51.784329,"2014-11-01",4.4,174.7,21.4
"normanbyhall",-0.6598234,53.6382647,"2017-11-04",1.4,219.4,21.6
"scunthorpe",-0.66287,53.580761,"2013-02-23",6,300.1,19.1
"bognorregis",-0.668621,50.787693,"2014-05-24",4.8,201.5,21.4
"rushmere",-0.67493,51.947466,"2015-11-07",3.3,147.2,16.6
"dalbyforest",-0.686914,54.273842,"2016-03-19",3,156.3,19.3
"corby",-0.691752,52.493024,"2013-09-21",5.5,104.5,19.1
"kettering",-0.707867,52.381795,"2016-09-24",2.5,335.7,26.2
"maidenhead",-0.712137,51.510933,"2015-03-21",4,245.5,20.9
"wendoverwoods",-0.715715,51.770267,"2018-09-15",0.5,123.6,16.1
"miltonkeynes",-0.72084,52.051384,"2010-01-16",9.2,355.9,23.4
"frimleylodge",-0.722222,51.293324,"2010-02-13",9.1,328.7,29.6
"wycomberye",-0.740418,51.623905,"2012-08-04",6.6,271.6,18.6
"rushmoor",-0.760074,51.266131,"2014-05-03",4.9,284.6,21.7
"linfordwood",-0.760414,52.0586,"2016-07-16",2.7,194.9,22.7
"gainsborough",-0.770776,53.406272,"2015-05-30",3.8,35.8,11.6
"bracknell",-0.777712,51.389941,"2015-04-04",3.9,299.4,24.3
"chichester",-0.778512,50.843362,"2014-08-02",4.6,150.8,16.9
